X56 檔案比對版本來源記錄 2005/05/24

K:CBETA 人工輸入
O:CBETA 掃瞄辨識

K:CBETA 人工輸入, Input by CBETA
O:CBETA 掃瞄辨識, OCR by CBETA

比對版本  卍續經號-冊-頁  版本   日期       卷數  經名                                     【朝代 譯者或作者】
─────────────────────────────────────────────────────────
KO        X0921_56_p0001  V1.0   2005/05/24    6  摩訶止觀義例纂要                         【宋 從義撰】
KO        X0922_56_p0104  V1.0   2005/05/24    1  摩訶止觀義例科                           【宋 從義排】
KO        X0923_56_p0122  V1.0   2005/05/24    6  摩訶止觀義例隨釋                         【宋 處元述】
KO        X0924_56_p0206  V1.0   2005/05/24    2  摩訶止觀貫義科                           【明 天溪說　清 靈耀補定】
KO        X0925_56_p0304  V1.0   2005/05/24    1  十不二門義                               【唐 道邃錄出】
KO        X0926_56_p0308  V1.0   2005/05/24    2  法華十妙不二門示珠指                     【宋 源清述】
KO        X0927_56_p0325  V1.0   2005/05/24    1  註法華本迹十不二門               【宋 宗翌述】
KO        X0928_56_p0340  V1.0   2005/05/24    1  十不二門文心解                           【宋 仁岳述】
KO        X0929_56_p0356  V1.0   2005/05/24    1  法華玄記十不二門顯妙                     【宋 處謙述】
KO        X0930_56_p0364  V1.0   2005/05/24    2  十不二門樞要                             【宋 了然述】
KO        X0931_56_p0401  V1.0   2005/05/24    2  十不二門指要鈔詳解                       【宋 可度詳解　明 正謐分會】
KO        X0932_56_p0490  V1.0   2005/05/24    2  金剛錍論私記                             【唐 明曠記　日本 辯才會】
KO        X0933_56_p0506  V1.0   2005/05/24    1  金剛錍科                                 【宋 仁岳撰】
KO        X0934_56_p0513  V1.0   2005/05/24    1  金剛錍科                                 【宋 智圓集】
KO        X0935_56_p0515  V1.0   2005/05/24    4  金剛錍顯性錄                             【宋 智圓集】
KO        X0936_56_p0558  V1.0   2005/05/24    1  金剛錍論義解                             【宋 善月述】
KO        X0937_56_p0568  V1.0   2005/05/24    3  金剛錍論釋文                             【宋 時舉釋　明 海眼會】
KO        X0938_56_p0598  V1.0   2005/05/24    1  始終心要注                               【宋 從義注】
KO        X0939_56_p0600  V1.0   2005/05/24    3  法華五百問論                             【唐 湛然述】
KO        X0940_56_p0669  V1.0   2005/05/24    1  學天台宗法門大意                         【唐 行滿述】
KO        X0941_56_p0671  V1.0   2005/05/24    1  六即義                                   【唐 行滿述】
KO        X0942_56_p0671  V1.0   2005/05/24    6  天台宗未決（附釋疑）                     【日本 最澄．圓澄．義真．光定．德圓 問　唐 道邃．廣修．維蠲．宗頴 答】
KO        X0943_56_p0698  V1.0   2005/05/24    1  法華龍女成佛權實義                       【宋 源清述】
KO        X0944_56_p0701  V1.0   2005/05/24    1  寶雲振祖集                               【宋 宗曉編】
KO        X0946_56_p0780  V1.0   2005/05/24    1  螺溪振祖集                               【宋 元悟編】
KO        X0948_56_p0813  V1.0   2005/05/24    7  四明仁岳異說叢書                         【宋 繼忠集】
KO        X0949_56_p0865  V1.0   2005/05/24   51  閑居編                                   【宋 智圓著】
─────────────────────────────────────────────────────────
