X26 檔案比對版本來源記錄 2006/07/26

K:CBETA 人工輸入
O:CBETA 掃瞄辨識

K:CBETA 人工輸入, Input by CBETA
O:CBETA 掃瞄辨識, OCR by CBETA

比對版本  卍續經號-冊-頁  版本   日期       卷數  經名                                          【朝代 譯者或作者】
─────────────────────────────────────────────────────────
KO        X0513_26_p0132  V1.0   2006/07/26    3  仁王經合疏                                    【隋 智顗說　灌頂記　明 道霈合】
KO        X0514_26_p0189  V1.0   2006/07/26    1  仁王經疏會本                                  【隋 智顗說　灌頂記　清 成蓮合】
KO        X0515_26_p0190  V1.0   2006/07/26    1  仁王經科疏科文                                【明 真貴述】
KO        X0516_26_p0205  V1.0   2006/07/26    1  仁王經科疏懸談                                【明 真貴述】
KO        X0517_26_p0218  V1.0   2006/07/26    5  仁王經科疏                                    【明 真貴述】
KO        X0519_26_p0422  V1.0   2006/07/26    6  仁王經疏法衡鈔                                【唐 遇榮集】
KO        X0520_26_p0520  V1.0   2006/07/26    4  仁王經疏                                      【宋 淨源撰集】
KO        X0521_26_p0591  V1.0   2006/07/26    1  般若心經疏                                    【唐 慧淨作】
KO        X0522_26_p0598  V1.0   2006/07/26    1  般若心經疏                                    【唐 靖邁撰】
KO        X0524_26_p0626  V1.0   2006/07/26    1  般若心經幽贊添改科                            【宋 守千添改】
KO        X0525_26_p0663  V1.0   2006/07/26    3  般若心經幽贊崆峒記                            【宋 守千集】
KO        X0526_26_p0720  V1.0   2006/07/26    1  般若心經註                                    【中天竺 提婆註】
KO        X0528_26_p0733  V1.0   2006/07/26    1  般若心經略疏                                  【唐 明曠述】
KO        X0529_26_p0736  V1.0   2006/07/26    1  般若心經疏                                    【宋 智圓述】
KO        X0530_26_p0739  V1.0   2006/07/26    1  般若心經疏詒謀鈔                              【宋 智圓撰】
KO        X0531_26_p0745  V1.0   2006/07/26    3  般若心經略疏顯正記                            【唐 法藏疏　宋 仲希說】
KO        X0532_26_p0762  V1.0   2006/07/26    2  般若心經略疏小鈔                              【明 錢謙益集】
KO        X0533_26_p0796  V1.0   2006/07/26    1  般若心經三注                                  【唐 慧忠著　宋 道楷．懷琛述】
KO        X0534_26_p0802  V1.0   2006/07/26    1  般若心經注                                    【宋 道隆述】
KO        X0535_26_p0804  V1.0   2006/07/26    1  般若心經解義節要                              【明 宋濂文句】
KO        X0536_26_p0810  V1.0   2006/07/26    1  般若心經注解                                  【明 真可撰】
KO        X0537_26_p0812  V1.0   2006/07/26    1  般若心經直談                                  【明 真可撰】
KO        X0538_26_p0813  V1.0   2006/07/26    1  般若心經要論                                  【明 真可說】
KO        X0539_26_p0815  V1.0   2006/07/26    1  般若心經說                                    【明 真可說】
