T18 檔案比對版本來源記錄 120299

S:蕭鎮國大德提供
T:日本 SAT 組織提供
4:北美某大德提供
O:CBETA 自行掃瞄辨識
c:陳伯勳大德提供新式標點
i:黃金愛大德提供新式標點
q:毛佩君、廖予安、廖予慈大德提供新式標點

S:蕭鎮國大德提供, Text as provided by Mr. Hsiao Chen-Kuo
T:日本 SAT 組織提供, Text as provided by SAT, Japan
4:北美某大德提供, Text as provided by Anonymous from USA
O:CBETA 自行掃瞄辨識, CBETA OCR Group
c:陳伯勳大德提供新式標點, Punctuated text as provided by Mr. Chen Bo-Xun
i:黃金愛大德提供新式標點, Punctuated text as provided by Ms. Huang Jin-Ai
q:毛佩君、廖予安、廖予慈大德提供新式標點, Punctuated text as provided by Mao Pei-Jun and Liao Yu-An and Liao Yu-Ci



比對版本  大正經號-冊-頁  版本   日期       卷數  經名                                                                               【朝代 譯者或作者】            高麗經號-冊
S4        T0887-18-p0514  V1.0   2000/03/01    6  佛說無二平等最上瑜伽大教王經                                                       【宋 施護譯】                  K1434-40
S4        T0888-18-p0536  V1.0   2000/03/01    2  一切祕密最上名義大教王儀軌                                                         【宋 施護譯】                  K1452-40
S4        T0889-18-p0541  V1.0   2000/03/01    5  一切如來大祕密王未曾有最上微妙大曼拏羅經                                           【宋 天息災譯】                K1155-34
S4        T0890-18-p0559  V1.0   2000/03/01    5  佛說瑜伽大教王經                                                                   【宋 法賢譯】                  K1220-34
S4        T0891-18-p0583  V1.0   2000/03/01    1  佛說幻化網大瑜伽教十忿怒明王大明觀想儀軌經                                         【宋 法賢譯】                  K1210-34
S4        T0892-18-p0587  V1.0   2000/03/01    5  佛說大悲空智金剛大教王儀軌經                                                       【宋 法護譯】                       -
S4        T0893a18-p0603  V1.0   2000/03/01    3  蘇悉地羯羅經                                                                       【唐 輸波迦羅譯】              K0432-13
SO        T0893b18-p0633  V1.0   2000/03/01    3  蘇悉地羯羅經                                                                       【唐 輸波迦羅譯】                   -
SO        T0893c18-p0663  V1.0   2000/03/01    3  蘇悉地羯羅經                                                                       【唐 輸波迦羅譯】                   -
S4        T0894a18-p0692  V1.0   2000/03/01    3  蘇悉地羯羅供養法                                                                   【唐 善無畏譯】                K0431-13
SO        T0894b18-p0704  V1.0   2000/03/01    2  蘇悉地羯羅供養法                                                                   【唐 善無畏譯】                     -
S4        T0895a18-p0719  V1.0   2000/03/01    3  蘇婆呼童子請問經                                                                   【唐 輸波迦羅譯】              K0428-13
SO        T0895b18-p0735  V1.0   2000/03/01    2  蘇婆呼童子請問經                                                                   【唐 輸波迦羅譯】                   -
S4        T0896-18-p0746  V1.0   2000/03/01   4   妙臂菩薩所問經                                                                     【宋 法天譯】                  K1152-33
S4        T0897-18-p0760  V1.0   2000/03/01    3  蕤呬耶經                                                                           【唐 不空譯】                       -
S4        T0898-18-p0773  V1.0   2000/03/01    1  佛說毘奈耶經                                                                       【】                                -
S4        T0899-18-p0776  V1.0   2000/03/01    1  清淨法身毘盧遮那心地法門成就一切陀羅尼三種悉地                                     【】                                -
S4        T0900-18-p0781  V1.0   2000/03/01    1  十八契印                                                                           【唐 惠果造】                       -
S4        T0901-18-p0785  V1.0   2000/03/01   12  陀羅尼集經                                                                         【唐 阿地瞿多譯】              K0308-11
S4        T0902-18-p0898  V1.0   2000/03/01    1  總釋陀羅尼義讚                                                                     【唐 不空譯】                       -
S4        T0903-18-p0898  V1.0   2000/03/01    1  都部陀羅尼目                                                                       【唐 不空譯】                  K1336-36
S4        T0904-18-p0900  V1.0   2000/03/01    1  念誦結護法普通諸部                                                                 【唐 金剛智述】                     -
S4        T0905-18-p0909  V1.0   2000/03/01    1  三種悉地破地獄轉業障出三界祕密陀羅尼法                                             【唐 善無畏譯】                     -
S4        T0906-18-p0912  V1.0   2000/03/01    1  佛頂尊勝心破地獄轉業障出三界祕密三身佛果三種悉地真言儀軌                           【唐 善無畏譯】                     -
S4        T0907-18-p0914  V1.0   2000/03/01    1  佛頂尊勝心破地獄轉業障出三界祕密陀羅尼                                             【唐 善無畏譯】                     -
S4        T0908-18-p0916  V1.0   2000/03/01    1  金剛頂瑜伽護摩儀軌                                                                 【唐 不空譯】                  K1335-36
S4        T0909-18-p0920  V1.0   2000/03/01    1  金剛頂瑜伽護摩儀軌                                                                 【唐 不空譯】                       -
S4        T0910-18-p0924  V1.0   2000/03/01    1  梵天擇地法                                                                         【】                                -
S4        T0911-18-p0926  V1.0   2000/03/01    1  建立曼荼羅及揀擇地法                                                               【唐 慧琳集】                       -
S4        T0912-18-p0929  V1.0   2000/03/01    1  建立曼荼羅護摩儀軌                                                                 【唐 法全集】                                -
S4        T0913-18-p0934  V1.0   2000/03/01    1  火𤙖供養儀軌                                                                  【】                                -
S4        T0914-18-p0936  V1.0   2000/03/01    1  火吽軌別錄                                                                         【】                                -
S4        T0915-18-p0940  V1.0   2000/03/01    1  受菩提心戒儀                                                                       【唐 不空譯】                  K1331-36
S4        T0916-18-p0941  V1.0   2000/03/01    1  受五戒八戒文                                                                       【】                                -
S4        T0917-18-p0942  V1.0   2000/03/01    1  無畏三藏禪要                                                                       【唐 善無畏說】                                -
