J36 檔案比對版本來源記錄 2009/08/24

C:CBETA 人工輸入（版本一）
R:CBETA 人工輸入（版本二）
L:LINDEN 大德提供
l:LINDEN 大德提供之部份經文

C:CBETA 人工輸入（版本一）, Input by CBETA(first version)
R:CBETA 人工輸入（版本二）, Input by CBETA(second version)
L:LINDEN 大德提供, Text as provided by LINDEN
l:LINDEN 大德提供之部份經文, Part of text as provided by LINDEN

比對版本  嘉興經號-冊-頁  版本   日期       卷數  經名                                          【朝代 譯者或作者】
─────────────────────────────────────────────────────────
CL        JB345_36_p0079  V1.0   2009/01/12    2  蘇州竹庵衍禪師語錄                            【清 真衍說　機如編】
CR        JB346_36_p0091  V1.0   2009/01/12    4  古林如禪師語錄                                【清 機如說　全威等記錄】
CRL       JB348_36_p0253  V1.0   2009/08/24   10  靈峰蕅益大師宗論                              【明 智旭著】
CR        JB351_36_p0513  V1.0   2009/01/12    2  道德經順硃                                    【清 德玉順硃】
CR        JB352_36_p0527  V1.0   2009/01/12    2  東山破峰重禪師語錄                            【清 普重說　傳慧等編】
CRL       JB353_36_p0539  V1.0   2009/01/12    1  雲幻宸禪師語錄                                【清 印宸說　發林等編　王民皞序　李道泰塔記】
CL        JB354_36_p0545  V1.0   2009/01/12    1  錦屏破石卓禪師雜著                            【明 悟卓說　超常記錄　發林行狀】
CRl       JB355_36_p0547  V1.0   2009/01/12    2  綠蘿恒秀林禪師語錄                            【清 發林說　光悠等編】
CR        JB356_36_p0561  V1.0   2009/01/12    2  奇然智禪師語錄                                【清 超智說　明林．明燦等編】
CR        JB357_36_p0581  V1.0   2009/01/12    3  秀野林禪師語錄                                【清 明林說　最正等編】
CRL       JB358_36_p0611  V1.0   2009/01/12    1  智覃正禪師語錄                                【清 最正說　尚能．尚瑩等編　末附助緣耆德】
CRl       JB359_36_p0617  V1.0   2009/01/12   20  百愚禪師語錄                                  【清 淨斯說　智操．智海等編語錄　智朴．方拱乾等編蔓堂集　附蔓堂集】
CRl       JB362_36_p0743  V1.0   2009/01/12    6  觀濤奇禪師語錄                                【清 大奇說　興舒等編】
CR        JB363_36_p0779  V1.0   2009/01/12    5  文穆念禪師語錄                                【清 念說　真慧等編】
CR        JB364_36_p0799  V1.0   2009/01/12    4  佛古聞禪師語錄                                【清 行聞說　超質等編】
CR        JB365_36_p0813  V1.0   2009/01/12    2  石璞質禪師語錄                                【清 超質說　明嵩等編】
CR        JB366_36_p0825  V1.0   2009/01/12    6  大方禪師語錄                                  【明 行海說　超鳴編】
CR        JB367_36_p0853  V1.0   2009/01/12    6  寂光豁禪師語錄                                【清 豁說　發育等編】
CR        JB368_36_p0881  V1.0   2009/01/12    2  天台通玄寺獨朗禪師語錄                        【清 行曰說　超心．超香等編】
CRl       JB369_36_p0891  V1.0   2009/01/12   30  蔗菴範禪師語錄                                【清 淨範說　智璋等錄】
─────────────────────────────────────────────────────────
